signal_rows,940
signal_first_time,2026.06.22 06:00:00
signal_last_time,2026.06.25 21:55:00
signal_status,{'REJECTED': 940}
signal_by_strategy,{'MR': 940}
signal_by_direction_status,{('BUY', 'REJECTED'): 470, ('SELL', 'REJECTED'): 470}
accepted_signals,0
top_reasons,[('MR: not eligible', 882), ('MR Long: insufficient deviation, sd=0.88', 2), ('MR Short: insufficient deviation, sd=0.88', 2), ('MR Long: insufficient deviation, sd=0.27', 2), ('MR Short: insufficient deviation, sd=0.27', 2), ('MR Long: insufficient deviation, sd=0.66', 2), ('MR Short: insufficient deviation, sd=0.66', 2), ('MR Long: insufficient deviation, sd=-1.04', 1), ('MR Short: insufficient deviation, sd=-1.04', 1), ('MR Long: insufficient deviation, sd=0.43', 1), ('MR Short: insufficient deviation, sd=0.43', 1), ('MR Long: insufficient deviation, sd=0.85', 1), ('MR Short: insufficient deviation, sd=0.85', 1), ('MR Long: insufficient deviation, sd=0.51', 1), ('MR Short: insufficient deviation, sd=0.51', 1), ('MR Long: insufficient deviation, sd=-0.58', 1), ('MR Short: insufficient deviation, sd=-0.58', 1), ('MR Long: insufficient deviation, sd=-0.21', 1), ('MR Short: insufficient deviation, sd=-0.21', 1), ('MR Long: insufficient deviation, sd=-0.13', 1)]
signal_ids_missing_direction,0
order_rows,0
trade_rows,0
